d2star	NC_003216	NC_003291	NC_004086	NC_004112	NC_004584	NC_004585	NC_004588	NC_004735	NC_004902	NC_005258	NC_006552	NC_006936	NC_007409	NC_007709	NC_007806	NC_008201	NC_008376	NC_008723	NC_009018	NC_009231	NC_009543	NC_009552	NC_009812	NC_009813	NC_009815	NC_009819	NC_011398	NC_015262	NC_015568	NC_019421	NC_019422	NC_020202
NC_006552	5.44E-01	4.99E-01	6.47E-01	5.44E-01	4.99E-01	4.99E-01	5.44E-01	4.57E-01	5.44E-01	5.44E-01	1.00E+00	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.49E-01	5.44E-01	4.99E-01	4.19E-01	4.19E-01	4.19E-01	5.44E-01	1.61E-01	5.42E-03	2.70E-03	6.19E-02	1.75E-03	4.99E-01
NC_006936	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	6.47E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	1.00E+00	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	7.06E-01	2.28E-01	5.93E-01	6.47E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.76E-01	4.97E-03	2.95E-03	6.75E-02	1.60E-03	5.44E-01
NC_007409	6.47E-01	4.99E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.44E-01	5.44E-01	5.44E-01	5.44E-01	4.99E-01	5.44E-01	1.00E+00	5.44E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.49E-01	5.44E-01	4.99E-01	4.19E-01	4.19E-01	4.19E-01	5.44E-01	1.61E-01	4.56E-03	3.22E-03	6.19E-02	1.75E-03	4.99E-01
NC_007709	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	6.47E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	5.44E-01	1.00E+00	5.93E-01	4.99E-01	4.57E-01	5.44E-01	7.06E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	2.49E-01	4.97E-03	2.48E-03	6.75E-02	1.91E-03	5.44E-01
NC_007806	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	1.00E+00	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.48E-01	4.18E-03	2.95E-03	8.03E-02	1.35E-03	5.44E-01
NC_008201	4.99E-01	4.57E-01	4.99E-01	4.99E-01	4.57E-01	4.57E-01	4.99E-01	4.19E-01	4.99E-01	4.99E-01	4.57E-01	4.99E-01	4.57E-01	4.99E-01	4.99E-01	1.00E+00	4.57E-01	6.47E-01	4.99E-01	2.28E-01	4.99E-01	4.57E-01	3.84E-01	3.84E-01	3.84E-01	4.99E-01	1.48E-01	4.18E-03	2.48E-03	8.03E-02	1.91E-03	5.44E-01
NC_008376	4.57E-01	4.19E-01	4.57E-01	4.57E-01	4.19E-01	4.19E-01	4.57E-01	3.84E-01	5.44E-01	4.57E-01	4.19E-01	4.57E-01	4.19E-01	4.57E-01	4.57E-01	4.57E-01	1.00E+00	4.99E-01	4.57E-01	2.09E-01	4.57E-01	4.19E-01	4.19E-01	3.52E-01	4.19E-01	4.57E-01	1.61E-01	2.70E-03	2.70E-03	6.19E-02	1.75E-03	4.19E-01
NC_008723	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.99E-01	4.99E-01	5.44E-01	4.57E-01	5.44E-01	5.44E-01	4.99E-01	5.44E-01	4.99E-01	5.44E-01	5.44E-01	6.47E-01	4.99E-01	1.00E+00	5.44E-01	2.49E-01	5.44E-01	4.99E-01	4.19E-01	4.19E-01	4.19E-01	5.44E-01	1.35E-01	4.56E-03	2.70E-03	8.76E-02	1.47E-03	4.99E-01
NC_009018	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	7.06E-01	5.44E-01	7.06E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	1.00E+00	2.28E-01	7.06E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.76E-01	4.97E-03	3.51E-03	6.75E-02	1.91E-03	5.44E-01
NC_009231	2.71E-01	2.49E-01	2.28E-01	2.28E-01	2.96E-01	2.09E-01	2.71E-01	2.28E-01	2.28E-01	2.28E-01	2.49E-01	2.28E-01	2.49E-01	2.28E-01	2.28E-01	2.28E-01	2.09E-01	2.49E-01	2.28E-01	1.00E+00	2.28E-01	2.49E-01	2.09E-01	2.09E-01	2.49E-01	2.28E-01	6.75E-02	5.42E-03	6.45E-03	3.67E-02	2.08E-03	2.09E-01
NC_009543	7.06E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	7.06E-01	2.28E-01	1.00E+00	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.48E-01	4.97E-03	2.95E-03	6.75E-02	1.60E-03	5.44E-01
NC_009552	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.99E-01	5.93E-01	5.44E-01	4.57E-01	5.44E-01	5.44E-01	4.99E-01	6.47E-01	4.99E-01	5.44E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.49E-01	5.44E-01	1.00E+00	4.99E-01	4.19E-01	4.19E-01	5.44E-01	1.61E-01	4.56E-03	3.22E-03	6.19E-02	1.47E-03	4.99E-01
NC_009812	5.44E-01	4.19E-01	4.57E-01	4.57E-01	4.19E-01	4.19E-01	4.57E-01	3.84E-01	5.44E-01	4.57E-01	4.19E-01	4.57E-01	4.19E-01	4.57E-01	4.57E-01	3.84E-01	4.19E-01	4.19E-01	4.57E-01	2.09E-01	4.57E-01	4.99E-01	1.00E+00	3.52E-01	3.52E-01	4.57E-01	1.14E-01	4.56E-03	2.27E-03	8.76E-02	1.75E-03	4.99E-01
NC_009813	4.57E-01	4.99E-01	4.57E-01	4.57E-01	4.19E-01	4.99E-01	4.57E-01	3.84E-01	4.57E-01	4.57E-01	4.19E-01	4.57E-01	4.19E-01	4.57E-01	4.57E-01	3.84E-01	3.52E-01	4.19E-01	4.57E-01	2.09E-01	4.57E-01	4.19E-01	3.52E-01	1.00E+00	3.52E-01	4.57E-01	1.61E-01	3.83E-03	3.22E-03	6.19E-02	1.24E-03	4.19E-01
NC_009815	4.57E-01	4.99E-01	4.57E-01	6.47E-01	4.99E-01	4.19E-01	4.57E-01	4.57E-01	4.57E-01	5.44E-01	4.19E-01	4.57E-01	4.19E-01	4.57E-01	4.57E-01	3.84E-01	4.19E-01	4.19E-01	4.57E-01	2.49E-01	4.57E-01	4.19E-01	3.52E-01	3.52E-01	1.00E+00	4.57E-01	1.61E-01	4.56E-03	3.22E-03	7.36E-02	1.75E-03	4.19E-01
NC_009819	5.93E-01	6.47E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	7.06E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	1.00E+00	1.48E-01	4.18E-03	2.08E-03	8.03E-02	1.35E-03	5.44E-01
NC_011398	1.48E-01	1.35E-01	1.48E-01	1.48E-01	1.35E-01	2.28E-01	1.76E-01	1.76E-01	1.48E-01	1.76E-01	1.61E-01	1.76E-01	1.61E-01	2.49E-01	1.48E-01	1.48E-01	1.61E-01	1.35E-01	1.76E-01	6.75E-02	1.48E-01	1.61E-01	1.14E-01	1.61E-01	1.61E-01	1.48E-01	1.00E+00	8.37E-03	7.04E-03	4.77E-02	4.56E-03	1.35E-01
NC_015262	4.18E-03	4.56E-03	4.18E-03	4.97E-03	3.83E-03	5.42E-03	4.97E-03	5.91E-03	3.51E-03	4.18E-03	5.42E-03	4.97E-03	4.56E-03	4.97E-03	4.18E-03	4.18E-03	2.70E-03	4.56E-03	4.97E-03	5.42E-03	4.97E-03	4.56E-03	4.56E-03	3.83E-03	4.56E-03	4.18E-03	8.37E-03	1.00E+00	1.83E-02	1.29E-02	4.01E-02	4.56E-03
NC_015568	2.95E-03	2.27E-03	2.95E-03	2.95E-03	3.22E-03	2.27E-03	2.48E-03	2.95E-03	2.48E-03	2.48E-03	2.70E-03	2.95E-03	3.22E-03	2.48E-03	2.95E-03	2.48E-03	2.70E-03	2.70E-03	3.51E-03	6.45E-03	2.95E-03	3.22E-03	2.27E-03	3.22E-03	3.22E-03	2.08E-03	7.04E-03	1.83E-02	1.00E+00	9.13E-03	2.00E-02	2.70E-03
NC_019421	6.75E-02	7.36E-02	6.75E-02	6.75E-02	7.36E-02	6.19E-02	8.03E-02	6.75E-02	6.75E-02	9.56E-02	6.19E-02	6.75E-02	6.19E-02	6.75E-02	8.03E-02	8.03E-02	6.19E-02	8.76E-02	6.75E-02	3.67E-02	6.75E-02	6.19E-02	8.76E-02	6.19E-02	7.36E-02	8.03E-02	4.77E-02	1.29E-02	9.13E-03	1.00E+00	4.97E-03	7.36E-02
NC_019422	1.60E-03	1.24E-03	1.60E-03	1.35E-03	1.75E-03	1.75E-03	1.35E-03	1.35E-03	1.60E-03	1.35E-03	1.75E-03	1.60E-03	1.75E-03	1.91E-03	1.35E-03	1.91E-03	1.75E-03	1.47E-03	1.91E-03	2.08E-03	1.60E-03	1.47E-03	1.75E-03	1.24E-03	1.75E-03	1.35E-03	4.56E-03	4.01E-02	2.00E-02	4.97E-03	1.00E+00	1.75E-03
NC_020202	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.99E-01	4.99E-01	5.44E-01	4.57E-01	5.44E-01	5.44E-01	4.99E-01	5.44E-01	4.99E-01	5.44E-01	5.44E-01	5.44E-01	4.19E-01	4.99E-01	5.44E-01	2.09E-01	5.44E-01	4.99E-01	4.99E-01	4.19E-01	4.19E-01	5.44E-01	1.35E-01	4.56E-03	2.70E-03	7.36E-02	1.75E-03	1.00E+00
