d2shepp	NC_003216	NC_003291	NC_004086	NC_004112	NC_004584	NC_004585	NC_004588	NC_004735	NC_004902	NC_005258	NC_006552	NC_006936	NC_007409	NC_007709	NC_007806	NC_008201	NC_008376	NC_008723	NC_009018	NC_009231	NC_009543	NC_009552	NC_009812	NC_009813	NC_009815	NC_009819	NC_011398	NC_015262	NC_015568	NC_019421	NC_019422	NC_020202
NC_007709	4.58E-01	4.65E-01	4.76E-01	4.36E-01	4.33E-01	4.37E-01	4.53E-01	4.44E-01	2.37E-01	4.84E-01	4.48E-01	4.70E-01	4.35E-01	1.00E+00	4.80E-01	4.66E-01	4.62E-01	4.64E-01	4.35E-01	4.47E-01	2.35E-01	4.56E-01	4.48E-01	4.57E-01	4.59E-01	4.46E-01	4.60E-01	4.71E-01	4.62E-01	4.66E-01	4.69E-01	4.50E-01
NC_007806	4.73E-01	4.72E-01	4.88E-01	4.78E-01	4.62E-01	4.64E-01	4.77E-01	4.46E-01	4.70E-01	4.64E-01	4.47E-01	4.68E-01	4.87E-01	4.80E-01	1.00E+00	4.70E-01	4.64E-01	4.77E-01	4.47E-01	4.68E-01	4.61E-01	4.58E-01	4.76E-01	4.80E-01	4.73E-01	4.61E-01	4.76E-01	4.53E-01	4.59E-01	4.78E-01	4.63E-01	4.36E-01
NC_008201	4.05E-01	4.07E-01	4.73E-01	4.01E-01	3.97E-01	3.96E-01	3.88E-01	4.35E-01	4.61E-01	4.63E-01	4.56E-01	4.55E-01	4.28E-01	4.66E-01	4.70E-01	1.00E+00	4.37E-01	4.13E-01	4.08E-01	4.33E-01	4.60E-01	4.18E-01	4.26E-01	4.33E-01	4.28E-01	4.21E-01	4.21E-01	4.52E-01	4.39E-01	4.26E-01	4.43E-01	4.70E-01
NC_008376	4.05E-01	4.04E-01	4.89E-01	4.36E-01	4.45E-01	4.16E-01	4.40E-01	4.45E-01	4.60E-01	4.64E-01	4.44E-01	4.53E-01	4.32E-01	4.62E-01	4.64E-01	4.37E-01	1.00E+00	4.33E-01	4.39E-01	4.44E-01	4.73E-01	3.43E-01	4.15E-01	4.16E-01	4.21E-01	4.45E-01	4.31E-01	4.20E-01	4.33E-01	4.42E-01	4.28E-01	4.56E-01
NC_008723	3.67E-01	4.09E-01	4.46E-01	4.45E-01	3.95E-01	3.93E-01	4.01E-01	4.38E-01	4.70E-01	4.47E-01	4.64E-01	4.26E-01	4.37E-01	4.64E-01	4.77E-01	4.13E-01	4.33E-01	1.00E+00	4.05E-01	3.78E-01	4.77E-01	4.30E-01	3.93E-01	3.75E-01	3.82E-01	4.08E-01	3.74E-01	3.98E-01	4.14E-01	3.73E-01	4.14E-01	4.78E-01
NC_009018	3.82E-01	3.98E-01	4.70E-01	3.85E-01	2.22E-01	3.24E-01	3.24E-01	4.51E-01	4.50E-01	4.57E-01	4.62E-01	3.98E-01	4.21E-01	4.35E-01	4.47E-01	4.08E-01	4.39E-01	4.05E-01	1.00E+00	4.00E-01	4.58E-01	4.11E-01	3.88E-01	3.90E-01	4.11E-01	3.40E-01	4.13E-01	4.06E-01	4.24E-01	4.21E-01	4.27E-01	4.71E-01
NC_009231	3.43E-01	3.69E-01	4.42E-01	4.39E-01	3.96E-01	4.03E-01	4.13E-01	4.28E-01	4.41E-01	4.37E-01	4.52E-01	4.26E-01	4.47E-01	4.47E-01	4.68E-01	4.33E-01	4.44E-01	3.78E-01	4.00E-01	1.00E+00	4.49E-01	4.11E-01	3.45E-01	3.50E-01	3.49E-01	3.99E-01	2.08E-01	2.99E-01	3.21E-01	2.45E-01	3.27E-01	4.65E-01
NC_009543	4.69E-01	4.65E-01	4.80E-01	4.49E-01	4.39E-01	4.51E-01	4.60E-01	4.57E-01	2.05E-01	4.76E-01	4.38E-01	4.59E-01	4.56E-01	2.35E-01	4.61E-01	4.60E-01	4.73E-01	4.77E-01	4.58E-01	4.49E-01	1.00E+00	4.69E-01	4.51E-01	4.67E-01	4.72E-01	4.38E-01	4.68E-01	4.72E-01	4.63E-01	4.74E-01	4.60E-01	4.41E-01
NC_009552	3.90E-01	4.12E-01	4.72E-01	4.43E-01	4.11E-01	3.92E-01	4.16E-01	4.25E-01	4.59E-01	4.46E-01	4.27E-01	4.40E-01	4.12E-01	4.56E-01	4.58E-01	4.18E-01	3.43E-01	4.30E-01	4.11E-01	4.11E-01	4.69E-01	1.00E+00	4.01E-01	4.14E-01	4.05E-01	4.14E-01	4.02E-01	4.13E-01	4.20E-01	4.16E-01	4.24E-01	4.41E-01
NC_009812	3.12E-01	2.92E-01	4.70E-01	4.04E-01	3.99E-01	3.88E-01	3.96E-01	4.35E-01	4.47E-01	4.32E-01	4.57E-01	4.26E-01	4.22E-01	4.48E-01	4.76E-01	4.26E-01	4.15E-01	3.93E-01	3.88E-01	3.45E-01	4.51E-01	4.01E-01	1.00E+00	3.40E-01	3.22E-01	4.10E-01	3.55E-01	3.60E-01	3.67E-01	3.71E-01	3.79E-01	4.67E-01
NC_009813	3.29E-01	3.44E-01	4.45E-01	4.14E-01	3.99E-01	3.97E-01	4.00E-01	4.57E-01	4.65E-01	4.42E-01	4.41E-01	4.26E-01	4.24E-01	4.57E-01	4.80E-01	4.33E-01	4.16E-01	3.75E-01	3.90E-01	3.50E-01	4.67E-01	4.14E-01	3.40E-01	1.00E+00	3.30E-01	3.97E-01	3.54E-01	3.67E-01	3.86E-01	3.68E-01	3.77E-01	4.50E-01
NC_009815	2.65E-01	3.30E-01	4.48E-01	4.29E-01	4.06E-01	3.91E-01	3.89E-01	4.45E-01	4.60E-01	4.22E-01	4.57E-01	4.40E-01	4.10E-01	4.59E-01	4.73E-01	4.28E-01	4.21E-01	3.82E-01	4.11E-01	3.49E-01	4.72E-01	4.05E-01	3.22E-01	3.30E-01	1.00E+00	3.96E-01	3.46E-01	3.74E-01	3.88E-01	3.73E-01	3.96E-01	4.64E-01
NC_009819	3.95E-01	4.18E-01	4.81E-01	4.21E-01	3.31E-01	3.24E-01	3.52E-01	4.31E-01	4.42E-01	4.69E-01	4.51E-01	4.06E-01	4.19E-01	4.46E-01	4.61E-01	4.21E-01	4.45E-01	4.08E-01	3.40E-01	3.99E-01	4.38E-01	4.14E-01	4.10E-01	3.97E-01	3.96E-01	1.00E+00	4.04E-01	4.05E-01	4.22E-01	4.10E-01	4.07E-01	4.57E-01
NC_011398	3.44E-01	3.56E-01	4.33E-01	4.52E-01	4.06E-01	4.08E-01	4.15E-01	4.34E-01	4.59E-01	4.36E-01	4.46E-01	4.36E-01	4.46E-01	4.60E-01	4.76E-01	4.21E-01	4.31E-01	3.74E-01	4.13E-01	2.08E-01	4.68E-01	4.02E-01	3.55E-01	3.54E-01	3.46E-01	4.04E-01	1.00E+00	3.05E-01	3.18E-01	1.79E-01	3.19E-01	4.61E-01
NC_015262	3.53E-01	3.70E-01	4.63E-01	4.56E-01	4.15E-01	4.10E-01	4.22E-01	4.44E-01	4.68E-01	4.36E-01	4.56E-01	4.27E-01	4.63E-01	4.71E-01	4.53E-01	4.52E-01	4.20E-01	3.98E-01	4.06E-01	2.99E-01	4.72E-01	4.13E-01	3.60E-01	3.67E-01	3.74E-01	4.05E-01	3.05E-01	1.00E+00	2.94E-01	3.14E-01	2.99E-01	4.60E-01
NC_015568	3.68E-01	3.77E-01	4.42E-01	4.61E-01	4.21E-01	4.20E-01	4.23E-01	4.51E-01	4.51E-01	4.33E-01	4.57E-01	4.52E-01	4.54E-01	4.62E-01	4.59E-01	4.39E-01	4.33E-01	4.14E-01	4.24E-01	3.21E-01	4.63E-01	4.20E-01	3.67E-01	3.86E-01	3.88E-01	4.22E-01	3.18E-01	2.94E-01	1.00E+00	3.20E-01	3.13E-01	4.52E-01
NC_019421	3.68E-01	3.72E-01	4.37E-01	4.65E-01	4.04E-01	4.03E-01	4.11E-01	4.42E-01	4.67E-01	4.21E-01	4.53E-01	4.28E-01	4.59E-01	4.66E-01	4.78E-01	4.26E-01	4.42E-01	3.73E-01	4.21E-01	2.45E-01	4.74E-01	4.16E-01	3.71E-01	3.68E-01	3.73E-01	4.10E-01	1.79E-01	3.14E-01	3.20E-01	1.00E+00	3.15E-01	4.69E-01
NC_019422	3.81E-01	3.78E-01	4.70E-01	4.53E-01	4.11E-01	4.22E-01	4.11E-01	4.38E-01	4.67E-01	4.15E-01	4.65E-01	4.53E-01	4.62E-01	4.69E-01	4.63E-01	4.43E-01	4.28E-01	4.14E-01	4.27E-01	3.27E-01	4.60E-01	4.24E-01	3.79E-01	3.77E-01	3.96E-01	4.07E-01	3.19E-01	2.99E-01	3.13E-01	3.15E-01	1.00E+00	4.66E-01
NC_020202	4.57E-01	4.57E-01	4.77E-01	4.62E-01	4.77E-01	4.72E-01	4.90E-01	4.33E-01	4.32E-01	4.86E-01	2.72E-01	4.70E-01	4.57E-01	4.50E-01	4.36E-01	4.70E-01	4.56E-01	4.78E-01	4.71E-01	4.65E-01	4.41E-01	4.41E-01	4.67E-01	4.50E-01	4.64E-01	4.57E-01	4.61E-01	4.60E-01	4.52E-01	4.69E-01	4.66E-01	1.00E+00
