Hao	NC_003216	NC_003291	NC_004086	NC_004112	NC_004584	NC_004585	NC_004588	NC_004735	NC_004902	NC_005258	NC_006552	NC_006936	NC_007409	NC_007709	NC_007806	NC_008201	NC_008376	NC_008723	NC_009018	NC_009231	NC_009543	NC_009552	NC_009812	NC_009813	NC_009815	NC_009819	NC_011398	NC_015262	NC_015568	NC_019421	NC_019422	NC_020202
NC_006552	5.02E-01	4.93E-01	4.93E-01	4.76E-01	4.86E-01	5.00E-01	4.92E-01	4.87E-01	4.91E-01	4.90E-01	1.00E+00	5.04E-01	5.10E-01	5.03E-01	4.87E-01	4.96E-01	4.92E-01	4.93E-01	4.83E-01	4.92E-01	4.97E-01	4.81E-01	4.97E-01	4.86E-01	5.14E-01	4.92E-01	4.96E-01	4.97E-01	4.98E-01	4.90E-01	4.99E-01	4.84E-01
NC_006936	4.90E-01	4.88E-01	4.84E-01	5.00E-01	4.67E-01	4.83E-01	4.73E-01	4.97E-01	4.74E-01	5.10E-01	5.04E-01	1.00E+00	4.90E-01	4.83E-01	4.99E-01	5.04E-01	4.99E-01	4.95E-01	4.78E-01	4.77E-01	4.93E-01	4.92E-01	4.91E-01	4.73E-01	4.82E-01	4.65E-01	5.00E-01	4.91E-01	4.96E-01	4.93E-01	4.83E-01	4.96E-01
NC_007409	4.91E-01	4.92E-01	4.94E-01	4.96E-01	4.80E-01	4.89E-01	5.07E-01	5.07E-01	5.02E-01	5.02E-01	5.10E-01	4.90E-01	1.00E+00	5.02E-01	4.98E-01	4.90E-01	5.04E-01	4.77E-01	4.86E-01	4.86E-01	4.99E-01	4.81E-01	5.05E-01	4.99E-01	4.97E-01	4.86E-01	4.98E-01	4.92E-01	4.91E-01	4.99E-01	4.93E-01	4.84E-01
NC_007709	5.07E-01	4.85E-01	5.01E-01	4.78E-01	5.02E-01	4.96E-01	4.86E-01	4.73E-01	3.30E-01	5.01E-01	5.03E-01	4.83E-01	5.02E-01	1.00E+00	5.01E-01	5.01E-01	5.00E-01	4.92E-01	5.04E-01	4.82E-01	3.06E-01	5.21E-01	4.93E-01	4.99E-01	4.80E-01	4.96E-01	4.98E-01	4.70E-01	4.97E-01	4.96E-01	4.90E-01	4.93E-01
NC_007806	4.89E-01	4.95E-01	4.62E-01	4.77E-01	4.86E-01	4.92E-01	5.13E-01	4.89E-01	4.86E-01	4.87E-01	4.87E-01	4.99E-01	4.98E-01	5.01E-01	1.00E+00	4.98E-01	4.97E-01	4.91E-01	4.89E-01	4.97E-01	4.84E-01	4.97E-01	4.92E-01	5.06E-01	4.90E-01	4.99E-01	5.00E-01	4.99E-01	5.01E-01	4.91E-01	5.08E-01	4.78E-01
NC_008201	5.09E-01	4.93E-01	5.09E-01	5.02E-01	4.92E-01	4.74E-01	5.02E-01	4.83E-01	5.05E-01	4.93E-01	4.96E-01	5.04E-01	4.90E-01	5.01E-01	4.98E-01	1.00E+00	5.07E-01	4.81E-01	4.70E-01	5.00E-01	5.00E-01	4.88E-01	4.84E-01	4.92E-01	4.78E-01	5.07E-01	4.90E-01	4.59E-01	4.98E-01	4.80E-01	4.80E-01	5.01E-01
NC_008376	4.95E-01	5.21E-01	4.98E-01	4.80E-01	4.95E-01	4.82E-01	4.92E-01	4.86E-01	4.94E-01	4.91E-01	4.92E-01	4.99E-01	5.04E-01	5.00E-01	4.97E-01	5.07E-01	1.00E+00	5.00E-01	5.01E-01	5.00E-01	4.76E-01	4.72E-01	4.86E-01	4.88E-01	5.05E-01	5.01E-01	5.00E-01	4.71E-01	5.11E-01	5.00E-01	5.03E-01	5.03E-01
NC_008723	4.63E-01	4.78E-01	5.07E-01	5.05E-01	4.73E-01	4.90E-01	4.63E-01	4.94E-01	4.98E-01	5.11E-01	4.93E-01	4.95E-01	4.77E-01	4.92E-01	4.91E-01	4.81E-01	5.00E-01	1.00E+00	4.82E-01	4.95E-01	4.99E-01	4.94E-01	4.67E-01	4.85E-01	4.95E-01	4.81E-01	4.77E-01	4.91E-01	4.63E-01	4.91E-01	5.04E-01	4.94E-01
NC_009018	4.74E-01	4.75E-01	5.16E-01	4.80E-01	3.29E-01	4.45E-01	4.68E-01	4.98E-01	4.83E-01	5.11E-01	4.83E-01	4.78E-01	4.86E-01	5.04E-01	4.89E-01	4.70E-01	5.01E-01	4.82E-01	1.00E+00	5.13E-01	5.07E-01	4.65E-01	5.08E-01	4.88E-01	4.77E-01	4.83E-01	5.09E-01	5.05E-01	4.93E-01	4.93E-01	5.09E-01	4.92E-01
NC_009231	4.99E-01	4.78E-01	5.07E-01	5.09E-01	5.14E-01	4.83E-01	5.00E-01	4.80E-01	4.72E-01	4.80E-01	4.92E-01	4.77E-01	4.86E-01	4.82E-01	4.97E-01	5.00E-01	5.00E-01	4.95E-01	5.13E-01	1.00E+00	4.92E-01	4.97E-01	4.86E-01	4.81E-01	5.00E-01	4.88E-01	4.06E-01	4.61E-01	4.97E-01	4.35E-01	4.53E-01	4.99E-01
NC_009543	5.12E-01	4.86E-01	4.96E-01	4.84E-01	4.96E-01	4.90E-01	4.78E-01	4.88E-01	2.69E-01	5.00E-01	4.97E-01	4.93E-01	4.99E-01	3.06E-01	4.84E-01	5.00E-01	4.76E-01	4.99E-01	5.07E-01	4.92E-01	1.00E+00	4.97E-01	4.84E-01	4.98E-01	4.86E-01	4.80E-01	4.81E-01	4.87E-01	4.95E-01	5.05E-01	4.88E-01	4.83E-01
NC_009552	4.89E-01	4.84E-01	4.96E-01	4.93E-01	4.74E-01	4.86E-01	4.89E-01	5.05E-01	4.99E-01	4.82E-01	4.81E-01	4.92E-01	4.81E-01	5.21E-01	4.97E-01	4.88E-01	4.72E-01	4.94E-01	4.65E-01	4.97E-01	4.97E-01	1.00E+00	4.67E-01	5.06E-01	4.91E-01	4.83E-01	4.63E-01	4.84E-01	4.76E-01	4.90E-01	5.00E-01	4.91E-01
NC_009812	4.66E-01	4.15E-01	5.08E-01	4.69E-01	4.84E-01	4.98E-01	5.04E-01	4.96E-01	4.96E-01	4.82E-01	4.97E-01	4.91E-01	5.05E-01	4.93E-01	4.92E-01	4.84E-01	4.86E-01	4.67E-01	5.08E-01	4.86E-01	4.84E-01	4.67E-01	1.00E+00	4.45E-01	4.41E-01	4.90E-01	4.84E-01	4.69E-01	4.89E-01	5.00E-01	4.66E-01	4.96E-01
NC_009813	4.89E-01	4.77E-01	5.12E-01	4.99E-01	4.78E-01	4.81E-01	4.82E-01	5.07E-01	4.91E-01	5.08E-01	4.86E-01	4.73E-01	4.99E-01	4.99E-01	5.06E-01	4.92E-01	4.88E-01	4.85E-01	4.88E-01	4.81E-01	4.98E-01	5.06E-01	4.45E-01	1.00E+00	4.73E-01	4.88E-01	4.92E-01	4.77E-01	4.73E-01	4.99E-01	4.74E-01	4.88E-01
NC_009815	4.08E-01	4.57E-01	4.89E-01	4.96E-01	4.93E-01	4.69E-01	4.82E-01	5.24E-01	4.89E-01	4.92E-01	5.14E-01	4.82E-01	4.97E-01	4.80E-01	4.90E-01	4.78E-01	5.05E-01	4.95E-01	4.77E-01	5.00E-01	4.86E-01	4.91E-01	4.41E-01	4.73E-01	1.00E+00	4.77E-01	4.98E-01	5.00E-01	4.86E-01	4.70E-01	4.99E-01	4.88E-01
NC_009819	4.86E-01	4.88E-01	5.15E-01	5.08E-01	4.58E-01	4.85E-01	5.05E-01	4.93E-01	4.82E-01	4.87E-01	4.92E-01	4.65E-01	4.86E-01	4.96E-01	4.99E-01	5.07E-01	5.01E-01	4.81E-01	4.83E-01	4.88E-01	4.80E-01	4.83E-01	4.90E-01	4.88E-01	4.77E-01	1.00E+00	5.02E-01	4.97E-01	4.84E-01	4.88E-01	4.80E-01	5.08E-01
NC_011398	4.89E-01	4.86E-01	5.17E-01	5.05E-01	4.95E-01	4.85E-01	5.00E-01	5.08E-01	4.85E-01	4.50E-01	4.96E-01	5.00E-01	4.98E-01	4.98E-01	5.00E-01	4.90E-01	5.00E-01	4.77E-01	5.09E-01	4.06E-01	4.81E-01	4.63E-01	4.84E-01	4.92E-01	4.98E-01	5.02E-01	1.00E+00	4.86E-01	4.90E-01	4.00E-01	4.93E-01	4.96E-01
NC_015262	4.82E-01	4.96E-01	4.94E-01	5.02E-01	4.90E-01	4.83E-01	4.98E-01	4.88E-01	4.95E-01	4.69E-01	4.97E-01	4.91E-01	4.92E-01	4.70E-01	4.99E-01	4.59E-01	4.71E-01	4.91E-01	5.05E-01	4.61E-01	4.87E-01	4.84E-01	4.69E-01	4.77E-01	5.00E-01	4.97E-01	4.86E-01	1.00E+00	4.63E-01	4.83E-01	4.34E-01	4.93E-01
NC_015568	4.72E-01	5.03E-01	4.80E-01	4.99E-01	4.90E-01	5.02E-01	4.91E-01	4.91E-01	4.99E-01	4.97E-01	4.98E-01	4.96E-01	4.91E-01	4.97E-01	5.01E-01	4.98E-01	5.11E-01	4.63E-01	4.93E-01	4.97E-01	4.95E-01	4.76E-01	4.89E-01	4.73E-01	4.86E-01	4.84E-01	4.90E-01	4.63E-01	1.00E+00	4.73E-01	4.51E-01	4.88E-01
NC_019421	4.77E-01	4.88E-01	4.76E-01	5.14E-01	4.94E-01	4.87E-01	4.93E-01	5.10E-01	5.01E-01	4.82E-01	4.90E-01	4.93E-01	4.99E-01	4.96E-01	4.91E-01	4.80E-01	5.00E-01	4.91E-01	4.93E-01	4.35E-01	5.05E-01	4.90E-01	5.00E-01	4.99E-01	4.70E-01	4.88E-01	4.00E-01	4.83E-01	4.73E-01	1.00E+00	4.86E-01	4.97E-01
NC_019422	4.89E-01	4.99E-01	4.89E-01	4.74E-01	4.92E-01	4.66E-01	4.94E-01	4.85E-01	4.90E-01	5.00E-01	4.99E-01	4.83E-01	4.93E-01	4.90E-01	5.08E-01	4.80E-01	5.03E-01	5.04E-01	5.09E-01	4.53E-01	4.88E-01	5.00E-01	4.66E-01	4.74E-01	4.99E-01	4.80E-01	4.93E-01	4.34E-01	4.51E-01	4.86E-01	1.00E+00	4.99E-01
NC_020202	4.77E-01	4.86E-01	4.92E-01	4.79E-01	4.91E-01	4.94E-01	4.92E-01	4.92E-01	4.90E-01	4.92E-01	4.84E-01	4.96E-01	4.84E-01	4.93E-01	4.78E-01	5.01E-01	5.03E-01	4.94E-01	4.92E-01	4.99E-01	4.83E-01	4.91E-01	4.96E-01	4.88E-01	4.88E-01	5.08E-01	4.96E-01	4.93E-01	4.88E-01	4.97E-01	4.99E-01	1.00E+00
