JS	NC_003216	NC_003291	NC_004086	NC_004112	NC_004584	NC_004585	NC_004588	NC_004735	NC_004902	NC_005258	NC_006552	NC_006936	NC_007409	NC_007709	NC_007806	NC_008201	NC_008376	NC_008723	NC_009018	NC_009231	NC_009543	NC_009552	NC_009812	NC_009813	NC_009815	NC_009819	NC_011398	NC_015262	NC_015568	NC_019421	NC_019422	NC_020202
NC_006552	2.49E-01	2.62E-01	3.43E-01	1.69E-01	2.41E-01	2.36E-01	2.40E-01	2.00E-01	1.31E-01	2.37E-01	1.00E+00	2.18E-01	2.08E-01	1.43E-01	1.82E-01	2.16E-01	1.77E-01	2.62E-01	2.45E-01	3.25E-01	1.32E-01	1.78E-01	2.57E-01	2.48E-01	2.55E-01	2.26E-01	3.21E-01	3.30E-01	3.12E-01	3.23E-01	3.19E-01	5.30E-02
NC_006936	8.03E-02	8.71E-02	1.65E-01	7.29E-02	9.32E-02	8.00E-02	8.54E-02	1.21E-01	1.54E-01	1.08E-01	2.18E-01	1.00E+00	1.17E-01	1.54E-01	2.07E-01	9.28E-02	9.68E-02	8.84E-02	9.20E-02	1.49E-01	1.53E-01	9.82E-02	8.24E-02	7.52E-02	8.20E-02	8.70E-02	1.44E-01	1.51E-01	1.43E-01	1.46E-01	1.43E-01	2.27E-01
NC_007409	1.08E-01	1.15E-01	1.59E-01	1.03E-01	1.03E-01	9.76E-02	1.07E-01	8.19E-02	1.28E-01	1.20E-01	2.08E-01	1.17E-01	1.00E+00	1.25E-01	2.14E-01	1.13E-01	1.09E-01	1.05E-01	1.05E-01	1.46E-01	1.28E-01	1.13E-01	1.08E-01	1.10E-01	1.04E-01	8.50E-02	1.43E-01	1.58E-01	1.44E-01	1.49E-01	1.45E-01	2.19E-01
NC_007709	1.77E-01	1.81E-01	2.50E-01	1.07E-01	1.50E-01	1.53E-01	1.58E-01	1.49E-01	2.13E-02	1.83E-01	1.43E-01	1.54E-01	1.25E-01	1.00E+00	2.20E-01	1.46E-01	1.44E-01	1.79E-01	1.55E-01	2.26E-01	1.72E-02	1.45E-01	1.77E-01	1.75E-01	1.79E-01	1.40E-01	2.22E-01	2.42E-01	2.23E-01	2.25E-01	2.28E-01	1.61E-01
NC_007806	2.26E-01	2.45E-01	3.08E-01	1.87E-01	2.45E-01	2.32E-01	2.33E-01	2.01E-01	2.12E-01	2.21E-01	1.82E-01	2.07E-01	2.14E-01	2.20E-01	1.00E+00	2.15E-01	1.85E-01	2.47E-01	2.41E-01	3.05E-01	2.12E-01	1.78E-01	2.40E-01	2.32E-01	2.34E-01	2.28E-01	3.02E-01	2.93E-01	2.84E-01	3.02E-01	2.89E-01	1.90E-01
NC_008201	9.39E-02	9.84E-02	1.64E-01	8.87E-02	8.73E-02	7.86E-02	8.28E-02	1.11E-01	1.44E-01	1.23E-01	2.16E-01	9.28E-02	1.13E-01	1.46E-01	2.15E-01	1.00E+00	9.68E-02	1.12E-01	8.57E-02	1.52E-01	1.44E-01	9.48E-02	9.46E-02	9.00E-02	9.39E-02	8.44E-02	1.48E-01	1.50E-01	1.45E-01	1.51E-01	1.44E-01	2.26E-01
NC_008376	1.01E-01	1.08E-01	1.88E-01	7.02E-02	1.10E-01	9.88E-02	1.05E-01	8.61E-02	1.41E-01	1.01E-01	1.77E-01	9.68E-02	1.09E-01	1.44E-01	1.85E-01	9.68E-02	1.00E+00	1.24E-01	1.09E-01	1.80E-01	1.42E-01	3.81E-02	1.02E-01	9.86E-02	1.02E-01	1.02E-01	1.76E-01	1.76E-01	1.67E-01	1.77E-01	1.68E-01	1.89E-01
NC_008723	6.31E-02	6.13E-02	1.32E-01	1.16E-01	8.27E-02	6.87E-02	7.84E-02	1.26E-01	1.82E-01	8.66E-02	2.62E-01	8.84E-02	1.05E-01	1.79E-01	2.47E-01	1.12E-01	1.24E-01	1.00E+00	8.09E-02	1.01E-01	1.83E-01	1.18E-01	5.91E-02	6.48E-02	5.87E-02	7.68E-02	9.33E-02	1.03E-01	9.67E-02	9.47E-02	9.63E-02	2.73E-01
NC_009018	6.87E-02	7.16E-02	1.40E-01	9.32E-02	1.92E-02	2.82E-02	3.32E-02	1.25E-01	1.57E-01	1.12E-01	2.45E-01	9.20E-02	1.05E-01	1.55E-01	2.41E-01	8.57E-02	1.09E-01	8.09E-02	1.00E+00	1.19E-01	1.58E-01	1.07E-01	6.84E-02	7.15E-02	6.85E-02	4.23E-02	1.12E-01	1.16E-01	1.07E-01	1.14E-01	1.11E-01	2.53E-01
NC_009231	1.08E-01	8.82E-02	8.16E-02	1.76E-01	1.20E-01	1.15E-01	1.27E-01	1.63E-01	2.31E-01	1.42E-01	3.25E-01	1.49E-01	1.46E-01	2.26E-01	3.05E-01	1.52E-01	1.80E-01	1.01E-01	1.19E-01	1.00E+00	2.31E-01	1.80E-01	9.18E-02	1.00E-01	9.61E-02	1.21E-01	1.96E-02	5.56E-02	5.07E-02	2.56E-02	4.63E-02	3.36E-01
NC_009543	1.79E-01	1.84E-01	2.54E-01	1.06E-01	1.53E-01	1.55E-01	1.59E-01	1.48E-01	1.31E-02	1.84E-01	1.32E-01	1.53E-01	1.28E-01	1.72E-02	2.12E-01	1.44E-01	1.42E-01	1.83E-01	1.58E-01	2.31E-01	1.00E+00	1.42E-01	1.79E-01	1.76E-01	1.81E-01	1.43E-01	2.27E-01	2.45E-01	2.27E-01	2.30E-01	2.32E-01	1.50E-01
NC_009552	9.94E-02	1.07E-01	1.94E-01	6.79E-02	1.09E-01	9.56E-02	1.01E-01	9.66E-02	1.40E-01	9.02E-02	1.78E-01	9.82E-02	1.13E-01	1.45E-01	1.78E-01	9.48E-02	3.81E-02	1.18E-01	1.07E-01	1.80E-01	1.42E-01	1.00E+00	1.01E-01	9.72E-02	1.01E-01	1.00E-01	1.76E-01	1.74E-01	1.65E-01	1.76E-01	1.67E-01	1.88E-01
NC_009812	3.88E-02	2.05E-02	1.13E-01	1.04E-01	7.22E-02	5.74E-02	7.04E-02	1.11E-01	1.79E-01	8.60E-02	2.57E-01	8.24E-02	1.08E-01	1.77E-01	2.40E-01	9.46E-02	1.02E-01	5.91E-02	6.84E-02	9.18E-02	1.79E-01	1.01E-01	1.00E+00	2.85E-02	2.76E-02	7.10E-02	8.63E-02	8.63E-02	8.02E-02	8.70E-02	8.10E-02	2.68E-01
NC_009813	3.73E-02	3.54E-02	1.22E-01	9.83E-02	7.44E-02	5.96E-02	7.60E-02	1.12E-01	1.75E-01	8.72E-02	2.48E-01	7.52E-02	1.10E-01	1.75E-01	2.32E-01	9.00E-02	9.86E-02	6.48E-02	7.15E-02	1.00E-01	1.76E-01	9.72E-02	2.85E-02	1.00E+00	3.36E-02	7.23E-02	9.48E-02	9.36E-02	8.88E-02	9.46E-02	8.91E-02	2.60E-01
NC_009815	2.75E-02	3.68E-02	1.14E-01	1.06E-01	7.09E-02	5.62E-02	6.81E-02	1.09E-01	1.80E-01	8.97E-02	2.55E-01	8.20E-02	1.04E-01	1.79E-01	2.34E-01	9.39E-02	1.02E-01	5.87E-02	6.85E-02	9.61E-02	1.81E-01	1.01E-01	2.76E-02	3.36E-02	1.00E+00	6.60E-02	9.02E-02	8.74E-02	8.20E-02	9.17E-02	8.23E-02	2.65E-01
NC_009819	6.56E-02	7.53E-02	1.46E-01	8.40E-02	3.96E-02	3.36E-02	4.61E-02	1.12E-01	1.41E-01	1.08E-01	2.26E-01	8.70E-02	8.50E-02	1.40E-01	2.28E-01	8.44E-02	1.02E-01	7.68E-02	4.23E-02	1.21E-01	1.43E-01	1.00E-01	7.10E-02	7.23E-02	6.60E-02	1.00E+00	1.14E-01	1.22E-01	1.09E-01	1.17E-01	1.14E-01	2.35E-01
NC_011398	1.01E-01	8.23E-02	8.53E-02	1.72E-01	1.13E-01	1.07E-01	1.20E-01	1.60E-01	2.27E-01	1.35E-01	3.21E-01	1.44E-01	1.43E-01	2.22E-01	3.02E-01	1.48E-01	1.76E-01	9.33E-02	1.12E-01	1.96E-02	2.27E-01	1.76E-01	8.63E-02	9.48E-02	9.02E-02	1.14E-01	1.00E+00	5.14E-02	4.84E-02	2.01E-02	4.09E-02	3.32E-01
NC_015262	9.45E-02	8.28E-02	8.35E-02	1.81E-01	1.20E-01	1.13E-01	1.21E-01	1.67E-01	2.45E-01	1.39E-01	3.30E-01	1.51E-01	1.58E-01	2.42E-01	2.93E-01	1.50E-01	1.76E-01	1.03E-01	1.16E-01	5.56E-02	2.45E-01	1.74E-01	8.63E-02	9.36E-02	8.74E-02	1.22E-01	5.14E-02	1.00E+00	3.46E-02	5.05E-02	3.27E-02	3.40E-01
NC_015568	8.96E-02	7.81E-02	9.12E-02	1.69E-01	1.11E-01	1.03E-01	1.12E-01	1.59E-01	2.26E-01	1.32E-01	3.12E-01	1.43E-01	1.44E-01	2.23E-01	2.84E-01	1.45E-01	1.67E-01	9.67E-02	1.07E-01	5.07E-02	2.27E-01	1.65E-01	8.02E-02	8.88E-02	8.20E-02	1.09E-01	4.84E-02	3.46E-02	1.00E+00	4.59E-02	3.24E-02	3.22E-01
NC_019421	1.01E-01	8.36E-02	9.41E-02	1.72E-01	1.16E-01	1.10E-01	1.23E-01	1.66E-01	2.30E-01	1.35E-01	3.23E-01	1.46E-01	1.49E-01	2.25E-01	3.02E-01	1.51E-01	1.77E-01	9.47E-02	1.14E-01	2.56E-02	2.30E-01	1.76E-01	8.70E-02	9.46E-02	9.17E-02	1.17E-01	2.01E-02	5.05E-02	4.59E-02	1.00E+00	4.02E-02	3.33E-01
NC_019422	9.28E-02	7.67E-02	8.99E-02	1.72E-01	1.15E-01	1.06E-01	1.16E-01	1.58E-01	2.31E-01	1.31E-01	3.19E-01	1.43E-01	1.45E-01	2.28E-01	2.89E-01	1.44E-01	1.68E-01	9.63E-02	1.11E-01	4.63E-02	2.32E-01	1.67E-01	8.10E-02	8.91E-02	8.23E-02	1.14E-01	4.09E-02	3.27E-02	3.24E-02	4.02E-02	1.00E+00	3.28E-01
NC_020202	2.60E-01	2.73E-01	3.50E-01	1.81E-01	2.49E-01	2.45E-01	2.46E-01	2.14E-01	1.49E-01	2.46E-01	5.30E-02	2.27E-01	2.19E-01	1.61E-01	1.90E-01	2.26E-01	1.89E-01	2.73E-01	2.53E-01	3.36E-01	1.50E-01	1.88E-01	2.68E-01	2.60E-01	2.65E-01	2.35E-01	3.32E-01	3.40E-01	3.22E-01	3.33E-01	3.28E-01	1.00E+00
